t,value
1663374206,4650000000
1663374207,4700000000
1663374208,4740000000
1663374209,4790000000
1663374210,7430000000
1663374211,9100000000
1663374212,11390000000
1663374213,14390000000
1663374214,15160000000
1663374215,17440000000
1663374216,20720000000
1663374217,22870000000
1663374218,25160000000
1663374219,25210000000
1663374220,26930000000
1663374221,30460000000
1663374222,33610000000
1663374223,37470000000
1663374224,39940000000
1663374225,41760000000
1663374226,41980000000
1663374227,44830000000
1663374228,47970000000
1663374228,48010000000
