t,value
1663367892,37483160
1663367893,37625256
1663367894,37713328
1663367895,37812144
1663367896,42158232
1663367897,49392136
1663367898,61842072
1663367899,71096608
1663367900,76391312
1663367901,76007576
1663367902,81246800
1663367903,84208776
1663367904,85211984
1663367905,86859472
1663367906,86958048
1663367907,87220736
1663367908,87257552
1663367909,90777264
1663367910,91959032
1663367911,92196800
1663367912,93214240
1663367913,94684336
1663367914,95588160
1663367915,96670632
1663367916,96724472
1663367917,96176448
1663367918,97005608
1663367919,97703088
1663367920,98206984
1663367921,98605144
