t,value
1663437885,37380136
1663437886,37516968
1663437887,37699776
1663437888,37904464
1663437889,47237624
1663437890,60388424
1663437891,71330080
1663437892,76163048
1663437893,77034664
1663437894,78862224
1663437895,84861696
1663437896,85509840
1663437897,88258960
1663437898,88137280
1663437899,88132112
1663437900,88290648
1663437901,88334304
1663437902,91277872
1663437903,91867176
1663437904,92615216
1663437905,93472208
1663437906,94485392
1663437907,95201320
1663437908,96728408
1663437909,96897840
1663437910,97598016
1663437911,98141560
1663437912,98275024
1663437913,98297168
1663437914,98620880
1663437915,99547872
1663437916,100489048
1663437917,101071520
