t,value
1663368009,4490000000
1663368010,4540000000
1663368011,4590000000
1663368012,4620000000
1663368013,5510000000
1663368014,7420000000
1663368015,9300000000
1663368016,11180000000
1663368017,12580000000
1663368018,14270000000
1663368019,15080000000
1663368020,16300000000
1663368021,18080000000
1663368022,19180000000
1663368023,19950000000
1663368024,21260000000
1663368025,22290000000
1663368026,22590000000
1663368027,22720000000
1663368028,22760000000
1663368029,24320000000
1663368030,25740000000
1663368031,27580000000
1663368032,28630000000
1663368033,29600000000
1663368034,31180000000
1663368035,32210000000
1663368036,33100000000
1663368037,33530000000
1663368038,33540000000
1663368039,33590000000
1663368040,33610000000
1663368041,34520000000
1663368042,35670000000
1663368043,37020000000
1663368044,38100000000
1663368045,38530000000
