t,value
1663352577,4540000000
1663352578,4590000000
1663352579,4610000000
1663352580,4650000000
1663352581,4690000000
1663352582,4710000000
1663352583,5200000000
1663352584,6150000000
1663352585,7210000000
1663352586,8360000000
1663352587,9330000000
1663352588,10240000000
1663352589,11310000000
1663352590,12250000000
1663352591,13060000000
1663352592,14130000000
1663352593,15150000000
1663352594,15680000000
1663352595,16730000000
1663352596,17700000000
1663352597,18330000000
1663352598,18560000000
1663352599,19690000000
1663352600,20640000000
1663352601,21010000000
1663352602,21030000000
1663352603,22090000000
1663352604,23110000000
1663352605,23700000000
1663352606,24530000000
1663352607,25450000000
1663352608,25850000000
1663352609,26930000000
1663352610,27340000000
1663352611,27740000000
1663352612,27790000000
1663352613,28740000000
1663352614,29390000000
1663352615,29980000000
