t,value
1663370991,3960000000
1663370992,4010000000
1663370993,4040000000
1663370994,4090000000
1663370995,5020000000
1663370996,7030000000
1663370997,8680000000
1663370998,10400000000
1663370999,12170000000
1663371000,13490000000
1663371001,14170000000
1663371002,16030000000
1663371003,17360000000
1663371004,17370000000
1663371005,18670000000
1663371006,20340000000
1663371007,21000000000
1663371008,23130000000
1663371009,24640000000
1663371010,26680000000
1663371011,28890000000
1663371012,29260000000
1663371013,30240000000
1663371013,32050000000
