t,count
1663422723,0
1663422724,0
1663422725,0
1663422726,0
1663422727,0
1663422728,0
1663422729,0
1663422730,0
1663422731,17162
1663422732,17162
1663422733,17162
1663422734,25397
1663422735,25741
1663422736,25741
1663422737,34185
1663422738,34185
1663422739,34185
1663422741,35831
1663422741,35831
1663422742,35831
1663422743,45737
1663422744,45737
1663422745,45737
1663422746,55556
1663422747,56777
1663422748,58520
1663422749,58520
1663422750,59789
1663422751,59789
1663422752,67349
1663422753,67502
1663422754,73384
1663422755,73428
