t,value
1663417199,37378392
1663417200,37548496
1663417201,37609112
1663417202,37839392
1663417203,47732240
1663417204,62205792
1663417205,75508688
1663417206,76356048
1663417207,78913056
1663417208,80911840
1663417209,81105688
1663417210,81181136
1663417211,81312696
1663417212,81357952
1663417213,84960672
1663417214,85135648
1663417215,86099240
1663417216,86728256
1663417217,88229248
1663417218,89824608
1663417219,90920976
1663417220,91076144
1663417221,92034456
1663417222,92545344
1663417222,92614352
