t,value
1663352429,37407136
1663352430,37571440
1663352431,37713080
1663352432,37820824
1663352433,37872064
1663352434,37910696
1663352435,37935928
1663352436,38009976
1663352437,38048440
1663352438,38082072
1663352439,38096120
1663352440,38119208
1663352441,38239192
1663352442,38529248
1663352443,47483744
1663352444,61836872
1663352445,76379528
1663352446,82774504
1663352447,83392592
1663352448,84620760
1663352449,84349384
1663352450,84372832
1663352451,84466720
1663352452,84492608
1663352453,84502792
1663352454,84508000
1663352455,84534528
1663352456,84566728
1663352457,84600392
1663352458,84606344
1663352459,84588232
1663352460,84546904
1663352461,84513752
1663352462,88758904
1663352463,89656480
1663352464,89684784
1663352465,90071320
1663352466,91113000
1663352467,91216800
1663352468,91376168
1663352469,91478960
1663352470,91491032
1663352471,91681512
1663352472,91702304
1663352473,91712232
1663352474,91716968
1663352475,91723816
1663352476,91792384
