t,value
1663360994,37321256
1663360995,37510208
1663360996,37636936
1663360997,37719600
1663360998,37983552
1663360999,44079816
1663361000,47529936
1663361001,57724800
1663361002,62650640
1663361003,69870704
1663361004,75797800
1663361005,75659256
1663361006,76192616
1663361007,76486440
1663361008,81578624
1663361009,84242952
1663361010,84229648
1663361011,84538016
1663361012,85816144
1663361013,86857400
1663361014,86896576
1663361015,86943184
1663361016,86875632
1663361017,86877488
1663361018,86895112
1663361019,89247344
1663361020,89780600
1663361021,89793712
1663361022,90813152
1663361023,91515080
1663361024,91572576
1663361025,92200248
1663361026,92895776
1663361027,93076512
1663361028,93846272
1663361029,93967576
1663361030,95035040
1663361031,95077560
1663361032,95055256
1663361033,95049632
1663361034,95076184
1663361035,95653888
1663361036,96027408
1663361037,96041272
1663361038,96461584
