t,count
1663358579,0
1663358580,0
1663358581,0
1663358582,0
1663358583,0
1663358584,0
1663358585,0
1663358586,0
1663358587,17219
1663358588,17219
1663358589,17219
1663358590,17219
1663358591,27598
1663358592,27689
1663358593,27689
1663358594,37459
1663358595,37459
1663358596,37459
1663358597,37459
1663358598,39085
1663358599,39085
1663358600,48900
1663358601,48900
1663358602,48900
1663358603,48900
1663358604,48900
1663358605,64865
1663358606,66991
1663358607,68979
1663358608,70922
1663358609,71294
1663358610,71294
1663358611,71294
1663358612,72826
1663358613,72826
1663358614,74719
1663358615,81405
1663358616,81405
1663358617,89508
1663358617,89508
