t,count
1663358536,0
1663358537,0
1663358538,0
1663358539,0
1663358540,0
1663358541,0
1663358542,0
1663358543,0
1663358544,4245
1663358545,17089
1663358546,17089
1663358547,17089
1663358548,27399
1663358549,27487
1663358550,27487
1663358551,35832
1663358552,35832
1663358553,35832
1663358554,35832
1663358555,35832
1663358556,38015
1663358557,45360
1663358558,45360
1663358559,45360
1663358560,53826
1663358561,57355
1663358562,60317
1663358563,61489
1663358564,62643
1663358565,63912
1663358566,63912
1663358567,63912
1663358568,63912
1663358569,67661
1663358570,72047
1663358571,73440
1663358572,78756
