t,value
1663363112,37324920
1663363113,37480424
1663363114,37614528
1663363115,37710120
1663363116,40957824
1663363117,46766032
1663363118,57617096
1663363119,66350240
1663363120,72315680
1663363121,75686632
1663363122,76547368
1663363123,83436736
1663363124,84827744
1663363125,85456448
1663363126,85728288
1663363127,86888496
1663363128,87046976
1663363129,87251792
1663363130,86989160
1663363131,89116864
1663363132,90344384
1663363133,91115440
1663363134,92298920
1663363136,92493104
1663363136,92903344
1663363137,93509496
1663363138,95176632
1663363139,94501032
1663363140,94889528
1663363141,94929248
1663363142,96066528
1663363143,96482648
1663363144,97093944
1663363145,97578688
