t,value
1663351953,37256472
1663351954,37473424
1663351955,37551504
1663351956,37666144
1663351957,37579464
1663351958,42243976
1663351959,45362192
1663351960,49194320
1663351961,55845704
1663351962,59715632
1663351963,62980104
1663351964,69248048
1663351965,75510432
1663351966,76702456
1663351967,76266784
1663351968,77709768
1663351969,82317528
1663351970,83965240
1663351971,84464224
1663351972,85741760
1663351973,86389288
1663351974,86790680
1663351975,86838912
1663351976,86844080
1663351977,89356112
1663351978,91177232
1663351979,91198664
1663351980,92052960
1663351981,92287232
1663351982,92866696
1663351983,93878776
1663351984,93614616
1663351985,94362184
1663351986,95292728
1663351987,95355920
1663351988,96363360
1663351989,97025024
1663351990,97540968
1663351991,97695128
