t,value
1663435567,37593864
1663435568,37793568
1663435569,37872080
1663435570,37969568
1663435571,48257120
1663435572,62473464
1663435573,73813880
1663435574,76367312
1663435575,76719888
1663435576,77108320
1663435577,77161592
1663435578,77221944
1663435579,77318560
1663435580,77126992
1663435581,83247360
1663435582,83312120
1663435583,82809656
1663435584,83308792
1663435585,85238680
1663435586,87902280
1663435587,87840992
1663435588,87309984
1663435589,91027960
1663435590,91053624
1663435591,91082080
1663435592,91739488
1663435593,92599480
1663435594,92619248
1663435595,92728696
1663435596,92739688
