t,count
1663372625,0
1663372626,0
1663372627,0
1663372628,0
1663372629,0
1663372630,0
1663372631,0
1663372632,0
1663372633,6134221553
1663372634,6134221553
1663372635,6134221553
1663372636,8895041078
1663372637,10378063581
1663372638,10378063581
1663372639,15917804633
1663372640,15917804633
1663372641,15917804633
1663372642,15917804633
1663372643,15917804633
1663372644,15917804633
1663372645,21094719030
1663372646,21094719030
1663372647,21094719030
1663372648,27286220945
1663372649,27893162388
1663372650,28226196390
1663372651,28226196390
1663372652,28226196390
1663372653,28226196390
1663372654,32659284312
1663372655,32659284312
1663372655,36630902493
