t,value
1663369007,37355160
1663369008,37525160
1663369009,37588936
1663369010,37696640
1663369011,43938584
1663369012,54484832
1663369013,62692896
1663369014,74610768
1663369015,76141896
1663369016,76569776
1663369017,77058032
1663369018,80283368
1663369019,80251728
1663369020,80545192
1663369021,80614592
1663369022,80637720
1663369023,81763272
1663369024,84015944
1663369025,84252896
1663369026,85294560
1663369027,86149928
1663369028,86543632
1663369029,87523568
1663369030,88576304
1663369031,90262512
1663369032,89974416
1663369033,89983960
1663369034,90960928
1663369035,91440792
1663369035,91808864
