t,value
1663376209,37432376
1663376210,37632352
1663376211,37749224
1663376212,37832696
1663376213,48532592
1663376214,62295960
1663376215,75590176
1663376216,76683576
1663376217,77140120
1663376218,79672288
1663376219,84819288
1663376220,84837696
1663376221,86333144
1663376222,87174640
1663376223,87454912
1663376224,87468688
1663376225,87667560
1663376226,87700536
1663376227,87681520
1663376228,88136240
1663376229,90435616
1663376230,90480936
1663376231,91767640
1663376232,92396976
1663376233,92879104
1663376234,93666368
1663376235,94492248
1663376236,96312056
1663376237,96410432
1663376238,96424736
1663376239,95895784
1663376240,95908008
1663376241,96494648
1663376242,96979224
1663376243,97167160
1663376244,96803144
