t,value
1663436602,37566760
1663436603,37768944
1663436604,37887376
1663436605,38034200
1663436606,48618176
1663436607,62166040
1663436608,74799600
1663436609,76996632
1663436610,77406960
1663436611,78896472
1663436612,85753496
1663436613,85291992
1663436614,87094824
1663436615,88343704
1663436616,88397368
1663436617,87813952
1663436618,88114056
1663436619,88140032
1663436620,88148032
1663436621,91320952
1663436622,91380848
1663436623,92385304
1663436624,93452352
1663436625,93484344
1663436626,93749704
1663436627,94987960
1663436628,96317512
1663436629,97267712
1663436630,97281392
1663436631,97502792
1663436632,97631320
1663436633,97979072
1663436634,97810720
1663436635,97989536
1663436635,98310440
