t,value
1663435567,113872448
1663435568,116557152
1663435569,118354928
1663435570,119257920
1663435571,149815264
1663435572,266249096
1663435573,208075472
1663435574,247889032
1663435575,406618352
1663435576,135936696
1663435577,137025184
1663435578,138113672
1663435579,140290616
1663435580,141379104
1663435581,462971624
1663435582,932613456
1663435583,537070464
1663435584,1125647272
1663435585,1649048752
1663435586,1714050472
1663435587,1715452632
1663435588,1716854848
1663435589,2035768584
1663435590,463054496
1663435591,769168152
1663435592,2693205664
1663435593,2461548640
1663435594,505351928
1663435595,2570841056
1663435596,2698511528
