t,value
1663361496,97832752
1663361497,100517456
1663361498,102315232
1663361499,103218224
1663361500,105007792
1663361501,96736216
1663361502,139673784
1663361503,184192880
1663361504,288885768
1663361505,182119120
1663361506,179971080
1663361507,345134232
1663361508,534616720
1663361509,552288960
1663361510,650485832
1663361511,99014984
1663361512,527281024
1663361513,656097392
1663361514,693034472
1663361515,694452392
1663361516,695870128
1663361517,107427560
1663361518,240299528
1663361519,332556008
1663361520,225266336
1663361521,348984880
1663361522,334328768
1663361523,708547368
1663361524,594744560
1663361525,621502800
1663361526,680403744
1663361527,759943736
1663361528,235649760
1663361529,261331136
1663361530,262756456
1663361531,474497480
1663361532,210904440
1663361533,585106352
1663361534,259048696
