t,count
1663425220,0
1663425221,0
1663425222,0
1663425223,0
1663425224,0
1663425225,0
1663425226,0
1663425227,0
1663425228,0
1663425229,0
1663425230,5590854412
1663425231,5590854412
1663425232,5590854412
1663425233,5590854412
1663425234,5590854412
1663425235,5590854412
1663425236,11032823658
1663425237,11032823658
1663425238,11032823658
1663425239,11032823658
1663425240,11032823658
1663425241,11032823658
1663425242,11032823658
1663425243,11032823658
1663425244,11032823658
1663425245,11032823658
1663425246,11032823658
1663425247,15457033366
1663425248,15457033366
1663425249,15457033366
1663425250,15457033366
1663425251,15457033366
1663425252,15457033366
1663425253,20990984938
1663425254,21397401087
1663425255,21994160554
1663425256,22308337822
1663425257,22308337822
1663425258,22308337822
1663425259,22308337822
1663425260,25891862155
1663425261,25891862155
1663425262,25891862155
1663425263,25891862155
1663425264,29777023881
1663425264,29777023881
