t,value
1663375842,4510000000
1663375845,8790000000
1663375848,13520000000
1663375851,16570000000
1663375854,20900000000
1663375857,24490000000
1663375860,27610000000
1663375863,30150000000
1663375866,30190000000
1663375869,31310000000
1663375872,35220000000
1663375875,38920000000
1663375878,42050000000
1663375881,45860000000
1663375884,49910000000
1663375887,50350000000
1663375890,50460000000
1663375893,50470000000
1663375896,52540000000
1663375899,55960000000
1663375902,59600000000
1663375905,62780000000
