t,value
1663432062,4530000000
1663432065,8700000000
1663432068,13730000000
1663432071,16560000000
1663432074,21120000000
1663432077,24220000000
1663432080,27590000000
1663432083,30630000000
1663432086,33640000000
1663432089,33710000000
1663432092,33720000000
1663432095,35050000000
1663432098,38530000000
1663432101,42200000000
1663432104,45730000000
1663432107,48770000000
1663432110,52400000000
1663432113,56590000000
1663432116,57790000000
1663432119,57810000000
1663432122,57850000000
1663432125,58040000000
1663432128,60660000000
1663432131,63780000000
1663432134,67770000000
1663432137,70840000000
1663432140,74080000000
