t,value
1663360561,97974656
1663360562,100659448
1663360563,102457224
1663360564,103360216
1663360565,105149784
1663360566,106424336
1663360567,150952096
1663360568,232947144
1663360569,151485160
1663360570,535159824
1663360571,536377528
1663360572,540671136
1663360573,80639208
1663360574,82293536
1663360575,83120656
1663360576,84774864
1663360577,90745064
1663360578,92399272
1663360579,94149288
1663360580,95803496
1663360581,97457704
1663360582,99822880
1663360583,101477336
1663360584,113677864
1663360585,114504984
1663360586,116159448
1663360587,117813784
1663360588,119468144
1663360589,120295264
1663360590,121949568
1663360591,200908392
1663360592,559225496
1663360593,139942896
1663360594,202713504
1663360595,230633736
1663360596,246681008
1663360597,251822016
1663360598,252572376
1663360599,263832880
1663360599,285830064
