t,value
1663353682,66779464
1663353683,69874152
1663353684,71275008
1663353685,73142840
1663353686,74519072
1663353687,91023288
1663353688,142249480
1663353689,101181936
1663353690,117341888
1663353691,143950360
1663353692,169151416
1663353693,91062376
1663353694,166824768
1663353695,123530368
1663353696,105741144
1663353697,192717048
1663353698,193998808
1663353699,209109912
1663353700,250050632
1663353701,96735528
1663353702,297570632
1663353703,325350240
1663353704,138225192
1663353705,156255296
1663353706,413842872
1663353707,313332528
1663353708,314753624
1663353709,316157896
1663353710,323888856
1663353711,158788288
1663353711,167650568
