t,value
1663353217,4720000000
1663353218,4760000000
1663353219,4800000000
1663353220,4830000000
1663353221,4860000000
1663353222,5410000000
1663353223,6470000000
1663353224,7340000000
1663353225,8240000000
1663353226,9090000000
1663353227,10510000000
1663353228,11540000000
1663353229,12460000000
1663353230,13280000000
1663353231,13300000000
1663353232,13370000000
1663353233,14460000000
1663353234,15360000000
1663353235,16230000000
1663353236,16300000000
1663353237,16370000000
1663353238,17390000000
1663353239,18410000000
1663353240,19630000000
1663353241,20770000000
1663353242,21900000000
1663353243,22580000000
1663353244,23200000000
1663353245,23570000000
1663353246,24030000000
1663353247,24680000000
1663353248,24700000000
1663353249,25560000000
1663353250,26030000000
