t,value
1663430454,4400000000
1663430455,4460000000
1663430456,4510000000
1663430457,4540000000
1663430458,6420000000
1663430459,8040000000
1663430460,10580000000
1663430461,13860000000
1663430462,16510000000
1663430463,18050000000
1663430464,21840000000
1663430465,23590000000
1663430466,26670000000
1663430467,30520000000
1663430468,31360000000
1663430469,31380000000
1663430470,33390000000
1663430471,37000000000
1663430472,40900000000
1663430473,43910000000
1663430474,47860000000
1663430475,50460000000
1663430476,52140000000
1663430477,53330000000
1663430478,53380000000
1663430479,55000000000
1663430480,58710000000
1663430481,62020000000
1663430482,64000000000
