t,value
1663419420,37534672
1663419421,37737656
1663419422,37876392
1663419423,38861392
1663419424,49317520
1663419425,63079632
1663419426,75067272
1663419427,76731008
1663419428,77257568
1663419429,80881976
1663419430,80939056
1663419431,81204144
1663419432,81261168
1663419433,81313120
1663419434,84473448
1663419435,85139944
1663419436,85852856
1663419437,86158864
1663419438,88273432
1663419439,89953568
1663419440,91020952
1663419441,91090232
1663419442,91042624
1663419443,91077992
1663419444,91775544
