t,value
1663353720,37162360
1663353721,37353424
1663353722,37466728
1663353723,37581000
1663353724,37665128
1663353725,40967176
1663353726,43821488
1663353727,47478312
1663353728,56127520
1663353729,60422072
1663353730,66137672
1663353731,69758192
1663353732,74725512
1663353733,75897072
1663353734,76261976
1663353735,76324088
1663353736,76352288
1663353737,77630528
1663353738,80419408
1663353739,81682816
1663353740,82796704
1663353741,83712400
1663353742,83899584
1663353743,85070952
1663353744,88700224
1663353745,89678296
1663353746,90126416
1663353746,90242840
