t,value
1663352766,37231984
1663352767,37415328
1663352768,37514760
1663352769,37594288
1663352770,37684176
1663352771,42023680
1663352772,45809504
1663352773,51803160
1663352774,57469592
1663352775,62174104
1663352776,67577632
1663352777,72590472
1663352778,76421368
1663352779,76764720
1663352780,76557152
1663352781,77205472
1663352782,82164264
1663352783,84268808
1663352784,84041376
1663352785,85246888
1663352786,85981440
1663352787,86818656
1663352788,87152096
1663352789,87253984
1663352790,87292376
1663352791,87324784
1663352792,90513488
1663352793,90541328
1663352794,91216728
1663352795,91931728
1663352796,91974928
1663352797,92540936
1663352798,93448536
1663352799,93899728
1663352800,93453824
1663352801,93838328
1663352802,94229072
1663352803,94821600
1663352804,94977248
1663352805,95557664
1663352806,95853736
1663352807,96246272
