t,value
1663353755,4620000000
1663353756,4670000000
1663353757,4700000000
1663353758,4730000000
1663353759,4760000000
1663353760,5250000000
1663353761,6200000000
1663353762,7120000000
1663353763,7950000000
1663353764,8720000000
1663353765,9820000000
1663353766,10920000000
1663353767,12010000000
1663353768,13200000000
1663353769,14330000000
1663353770,14970000000
1663353771,15020000000
1663353772,15080000000
1663353773,15840000000
1663353774,16970000000
1663353775,17880000000
1663353776,18870000000
1663353777,19200000000
1663353778,19230000000
1663353779,20090000000
1663353780,21190000000
1663353781,21690000000
1663353782,22270000000
