t,value
1663355200,4350000000
1663355201,4400000000
1663355202,4450000000
1663355203,4480000000
1663355204,4800000000
1663355205,6570000000
1663355206,8640000000
1663355207,10250000000
1663355208,11650000000
1663355209,13510000000
1663355210,15110000000
1663355211,16210000000
1663355212,18060000000
1663355213,19860000000
1663355214,20530000000
1663355215,22340000000
1663355216,24000000000
1663355217,24190000000
1663355218,24210000000
1663355219,25610000000
1663355220,27610000000
1663355221,29090000000
1663355222,30900000000
1663355223,32720000000
1663355224,34570000000
1663355225,35480000000
1663355226,36380000000
1663355227,37560000000
1663355228,37640000000
1663355229,38220000000
1663355230,40200000000
1663355231,41920000000
1663355232,43530000000
1663355232,43540000000
