t,value
1663360105,4630000000
1663360106,4680000000
1663360107,4720000000
1663360108,4760000000
1663360109,4790000000
1663360110,5550000000
1663360111,6920000000
1663360112,8210000000
1663360113,9680000000
1663360114,11220000000
1663360115,12860000000
1663360116,14330000000
1663360117,15270000000
1663360118,15410000000
1663360119,16500000000
1663360120,17780000000
1663360121,18960000000
1663360122,19480000000
1663360123,20750000000
1663360124,20830000000
1663360125,20850000000
1663360126,20860000000
1663360127,22150000000
1663360128,23430000000
1663360129,24180000000
1663360130,25190000000
1663360131,26440000000
1663360132,27580000000
1663360133,28180000000
1663360134,28830000000
1663360135,29040000000
1663360136,29110000000
1663360137,30640000000
1663360138,31620000000
1663360139,32710000000
1663360140,33560000000
1663360141,34030000000
