t,count
1663360388,0
1663360389,0
1663360390,0
1663360391,0
1663360392,0
1663360393,0
1663360394,0
1663360395,0
1663360396,0
1663360397,0
1663360398,0
1663360399,0
1663360400,0
1663360401,6527
1663360402,6527
1663360403,6527
1663360404,6527
1663360405,6527
1663360406,9851
1663360407,9899
1663360408,9899
1663360409,9899
1663360410,9899
1663360411,12698
1663360412,12698
1663360413,12698
1663360414,12698
1663360415,12698
1663360416,12698
1663360417,12698
1663360418,15252
1663360419,15252
1663360420,15252
1663360421,15252
1663360422,17665
1663360423,18198
1663360424,18487
1663360425,18906
1663360426,19230
1663360427,19230
1663360428,19230
1663360429,19230
1663360430,19230
1663360431,19230
1663360432,19230
1663360433,21862
1663360434,21862
1663360435,23747
