t,count
1663361408,0
1663361409,0
1663361410,0
1663361411,0
1663361412,0
1663361413,0
1663361414,0
1663361415,0
1663361416,0
1663361417,0
1663361418,0
1663361419,0
1663361420,3459554425
1663361421,3459554425
1663361422,3459554425
1663361423,3459554425
1663361424,3459554425
1663361425,5549681758
1663361426,5549681758
1663361427,5549681758
1663361428,5549681758
1663361429,5549681758
1663361430,5549681758
1663361431,7386089949
1663361432,7386089949
1663361433,7386089949
1663361434,7386089949
1663361435,9477556157
1663361436,9572554547
1663361437,9653392724
1663361438,9989016611
1663361439,9989016611
1663361440,9989016611
1663361441,9989016611
1663361442,9989016611
1663361443,11465377102
1663361443,11470826858
