t,count
1663436201,0
1663436202,0
1663436203,0
1663436204,0
1663436205,0
1663436206,0
1663436207,0
1663436208,0
1663436209,1779663782
1663436210,6922396087
1663436211,6922396087
1663436212,6922396087
1663436213,12519425539
1663436214,12519425539
1663436215,12519425539
1663436216,12519425539
1663436217,19721998505
1663436218,19721998505
1663436219,19721998505
1663436220,19721998505
1663436221,19721998505
1663436222,19721998505
1663436223,26004953903
1663436224,26004953903
1663436225,26004953903
1663436226,33661666545
1663436227,34388419124
1663436228,35348691417
1663436229,35986127605
1663436230,35986127605
1663436231,37745529664
1663436232,37745529664
1663436233,37745529664
1663436234,37745529664
1663436235,37745529664
1663436236,43486305896
1663436237,43486305896
1663436238,48802287021
