t,count
1663358356,0
1663358357,0
1663358358,0
1663358359,0
1663358360,0
1663358361,0
1663358362,0
1663358363,0
1663358364,5330198830
1663358365,5330198830
1663358366,6856603257
1663358367,8730242530
1663358368,8730242530
1663358369,12405255589
1663358370,12405255589
1663358371,12405255589
1663358372,12405255589
1663358373,16872549087
1663358374,16872549087
1663358375,21790690590
1663358376,22671153301
1663358377,23685179229
1663358378,24304718728
1663358379,24304718728
1663358380,24304718728
1663358381,27571859853
1663358382,30424468384
