t,value
1663370378,115396136
1663370379,118080864
1663370380,119878640
1663370381,120773424
1663370382,122562992
1663370383,123457776
1663370384,125247344
1663370385,127036912
1663370386,127931696
1663370387,129721264
1663370388,104024504
1663370389,107382752
1663370390,193006072
1663370391,316898608
1663370392,308275936
1663370393,512303720
1663370394,422548744
1663370395,423679656
1663370396,513848944
1663370397,157337312
1663370398,227457864
1663370399,541019584
1663370400,623568632
1663370401,436889952
1663370402,377553472
1663370403,669786568
1663370404,704516792
1663370405,705827152
1663370406,719670256
1663370407,397809648
1663370408,954454776
1663370409,880203784
1663370410,618442504
1663370411,578960304
1663370412,370737536
1663370413,968958840
1663370414,569419568
1663370415,640528632
1663370416,736543224
1663370417,832406952
1663370418,967356904
1663370419,968768808
1663370420,1126363088
1663370421,1129343936
1663370422,1130741104
1663370423,676314952
1663370424,488544448
1663370425,477617880
1663370426,1200554352
1663370427,636734792
1663370427,875500824
