t,value
1663354377,96475872
1663354378,99160656
1663354379,100958432
1663354380,101861424
1663354381,103650992
1663354382,142038960
1663354383,96027784
1663354384,75482664
1663354385,144103696
1663354386,172413776
1663354387,234878360
1663354388,87036048
1663354389,148865232
1663354390,291834192
1663354391,73735392
1663354392,222983544
1663354393,245855504
1663354394,314936432
1663354395,304838640
1663354396,367518328
1663354397,114924808
1663354398,123361608
1663354399,143751536
1663354400,176087440
1663354401,330941456
1663354402,279159616
1663354403,287876192
1663354404,321459504
