t,value
1663418290,96500976
1663418291,99185680
1663418292,100983456
1663418293,103667872
1663418294,68353792
1663418295,185924104
1663418296,152511384
1663418297,338859888
1663418298,310693360
1663418299,699491968
1663418300,891832416
1663418301,1002399792
1663418302,923456336
1663418303,1294255272
1663418304,874861752
1663418305,843343216
1663418306,1514886176
1663418307,1628556912
1663418308,555182848
1663418309,151033200
1663418310,1604467880
1663418311,1428802760
1663418312,1280112784
1663418313,1506614672
1663418314,1554476664
