t,value
1663415965,97715456
1663415966,100408336
1663415967,102206136
1663415968,103109128
1663415969,137917864
1663415970,104665648
1663415971,206808792
1663415972,247474344
1663415973,476044264
1663415974,492014296
1663415975,550731544
1663415976,372540520
1663415977,686028304
1663415978,884223040
1663415979,1174536032
1663415980,952473264
1663415981,795750056
1663415982,1013848984
1663415983,1030391336
1663415984,1031773280
1663415985,1033155536
1663415986,185949224
1663415987,1415134080
1663415988,789884592
1663415989,1764556152
1663415990,1465409528
1663415991,597093832
1663415992,979425720
1663415993,1137242624
1663415994,320369576
1663415995,1762403608
1663415996,507027896
1663415997,190644456
1663415998,1429186024
1663415999,692996304
1663416000,292560136
1663416001,910633696
1663416002,396088744
1663416003,1833917592
1663416003,337876280
