t,count
1663352485,0
1663352486,0
1663352487,0
1663352488,0
1663352489,0
1663352490,0
1663352491,0
1663352492,0
1663352493,0
1663352494,0
1663352495,0
1663352496,5201
1663352497,5201
1663352498,5201
1663352499,5201
1663352500,5201
1663352501,5201
1663352502,5201
1663352503,5201
1663352504,5201
1663352505,5201
1663352506,5739
1663352507,5739
1663352508,7041
1663352509,7041
1663352510,7041
1663352511,7041
1663352512,7041
1663352513,7041
1663352514,8323
1663352515,8498
1663352516,8683
1663352517,8871
1663352518,8871
1663352519,8871
1663352520,8907
1663352521,9860
1663352522,9879
