t,count
1663355201,0
1663355202,0
1663355203,0
1663355204,0
1663355205,0
1663355206,0
1663355207,0
1663355208,0
1663355209,0
1663355210,0
1663355211,9970
1663355212,9970
1663355213,9970
1663355214,14133
1663355215,14133
1663355216,14133
1663355217,17752
1663355218,17752
1663355219,17752
1663355220,17752
1663355221,17752
1663355222,22862
1663355223,22862
1663355224,22862
1663355225,28018
1663355226,28408
1663355227,29299
1663355228,29860
1663355229,29860
1663355230,29860
1663355231,32945
1663355232,33804
1663355232,34928
