t,count
1663373965,0
1663373966,0
1663373967,0
1663373968,0
1663373969,0
1663373970,0
1663373971,0
1663373972,15934
1663373973,15934
1663373974,15934
1663373975,23498
1663373976,23934
1663373977,23934
1663373978,31232
1663373979,31232
1663373980,31232
1663373981,31232
1663373982,31232
1663373983,38931
1663373984,38931
1663373985,42290
1663373986,46785
1663373987,48555
1663373988,50437
1663373989,51318
1663373990,51318
1663373991,51318
1663373992,51318
1663373993,57946
1663373994,59147
1663373994,63103
