t,count
1663377139,0
1663377140,0
1663377141,0
1663377142,0
1663377143,0
1663377144,0
1663377145,0
1663377146,0
1663377147,0
1663377148,0
1663377149,0
1663377150,0
1663377151,7512
1663377152,7814
1663377153,7814
1663377154,7814
1663377155,7814
1663377156,7814
1663377157,7814
1663377158,7814
1663377159,7814
1663377160,15640
1663377161,15640
1663377162,15640
1663377163,15640
1663377164,15640
1663377165,15640
1663377166,15640
1663377167,15640
1663377168,15640
1663377169,15640
1663377170,15640
1663377171,15640
1663377172,15640
1663377173,15640
1663377174,22501
1663377175,22501
1663377176,22501
1663377177,22501
1663377178,22501
1663377179,22501
1663377180,22501
1663377181,22501
1663377182,22501
1663377183,29971
1663377184,30378
1663377185,30869
1663377186,31689
1663377187,31689
1663377188,31689
1663377189,31689
1663377190,31689
1663377191,31689
1663377192,37163
1663377193,37163
1663377194,37163
1663377195,37163
1663377196,37163
1663377197,37163
1663377198,42982
1663377199,42982
1663377199,42982
