t,value
1663436643,37510720
1663436644,37689144
1663436645,37837248
1663436646,38457872
1663436647,50120912
1663436648,63327176
1663436649,74798760
1663436650,76358272
1663436651,76941712
1663436652,77235368
1663436653,85725800
1663436654,86136816
1663436655,86374256
1663436656,88608776
1663436657,87965056
1663436658,87985080
1663436659,88365656
1663436660,91611208
1663436661,91939080
1663436662,92683144
1663436663,93188664
1663436664,93498480
1663436665,94485352
1663436666,95289024
1663436667,95356168
1663436668,95994016
1663436669,96625064
1663436670,98439592
1663436671,97886576
1663436672,98783048
1663436673,98802664
1663436674,98947872
1663436675,99008608
1663436676,99687352
1663436677,100288552
1663436678,100331328
1663436678,100892792
