t,value
1663433924,37305680
1663433925,37503368
1663433926,37615776
1663433927,38925904
1663433928,48986216
1663433929,62672832
1663433930,75677128
1663433931,75759728
1663433932,76040480
1663433933,76178856
1663433934,76231432
1663433935,78275944
1663433936,81427992
1663433937,81194232
1663433938,81336792
1663433939,81396200
1663433940,81464936
1663433941,82129448
1663433942,82412600
1663433943,82836816
1663433944,82810528
1663433945,82222776
1663433946,81891968
1663433947,81806160
1663433948,82059040
1663433948,82207704
