t,value
1663425777,97582928
1663425778,100267632
1663425779,102065408
1663425780,107442496
1663425781,75457768
1663425782,185798656
1663425783,144180080
1663425784,253093128
1663425785,264633560
1663425786,640284616
1663425787,1069604152
1663425788,691432936
1663425789,692586336
1663425790,694102328
1663425791,695626712
1663425792,704610688
1663425793,708497160
1663425794,732314656
1663425795,219478472
1663425796,1555378944
1663425797,1593714600
1663425798,1667534496
1663425799,1175896752
1663425800,622314880
1663425801,1241145760
1663425802,2153557896
1663425803,1421564872
1663425804,819384904
1663425805,2287452896
1663425806,1510788160
1663425807,1920788248
1663425808,519174960
1663425809,1738320464
1663425810,1002644808
1663425811,348677144
1663425812,1822864832
1663425813,543495944
1663425814,1707156408
1663425815,1078114896
1663425816,417325936
1663425817,1870574288
1663425818,582834376
1663425818,644152800
