t,value
1663428323,116006712
1663428324,118691416
1663428325,120489192
1663428326,124076808
1663428327,87449208
1663428328,201943608
1663428329,180837232
1663428330,279331304
1663428331,420001800
1663428332,514868032
1663428333,1294138832
1663428334,1234929568
1663428335,218255304
1663428336,1223093344
1663428337,1740280832
1663428338,1801457424
1663428339,1806285432
1663428340,1822516912
1663428341,1715163120
1663428342,813804640
1663428343,1588571744
1663428344,1371664520
1663428345,378456544
1663428346,548349256
1663428347,879319704
1663428348,1125854768
1663428349,1127258872
1663428350,1959539800
1663428351,861386608
1663428352,369470144
1663428353,521477792
1663428354,858747224
1663428354,1578857840
