t,value
1663353943,48183664
1663353944,51550368
1663353945,53000024
1663353946,54441280
1663353947,56098248
1663353948,96022496
1663353949,94428464
1663353950,80803096
1663353951,143443256
1663353952,169050320
1663353953,91153664
1663353954,146185608
1663353955,118720632
1663353956,202882568
1663353957,119766568
1663353958,327525392
1663353959,329049112
1663353960,330350568
1663353961,341363576
1663353962,374007688
1663353963,89931200
1663353964,207700312
1663353965,225916800
1663353966,391761064
1663353967,183195904
1663353968,184656360
1663353969,208037408
1663353970,330606944
1663353971,364179184
1663353972,218300752
1663353973,375688048
1663353973,184602824
