t,count
1663416607,0
1663416608,0
1663416609,0
1663416610,0
1663416611,0
1663416612,0
1663416613,0
1663416614,0
1663416615,0
1663416616,0
1663416617,4183
1663416618,4183
1663416619,4183
1663416620,6412
1663416621,6593
1663416622,6593
1663416623,8719
1663416624,8719
1663416625,8719
1663416626,8719
1663416627,8719
1663416628,8719
1663416629,8719
1663416630,11180
1663416631,11180
1663416632,11180
1663416633,13673
1663416634,13966
1663416635,14271
1663416636,14271
1663416637,16066
1663416638,16066
1663416639,17791
1663416640,17802
1663416641,17802
1663416641,19806
