t,count
1663380058,0
1663380059,0
1663380060,0
1663380061,0
1663380062,0
1663380063,0
1663380064,0
1663380065,0
1663380066,12039
1663380067,12039
1663380068,12039
1663380069,18287
1663380070,18287
1663380071,18287
1663380072,23842
1663380073,23842
1663380074,23842
1663380075,23842
1663380076,23842
1663380077,30228
1663380078,30228
1663380079,30228
1663380080,35800
1663380081,37401
1663380082,38154
1663380083,39079
1663380084,39079
1663380085,39079
1663380086,40189
1663380087,40189
1663380088,44820
1663380089,48808
1663380089,48843
