t,value
1663426591,4640000000
1663426592,4680000000
1663426593,4730000000
1663426594,4960000000
1663426595,6830000000
1663426596,8750000000
1663426597,11170000000
1663426598,13730000000
1663426599,15800000000
1663426600,16740000000
1663426601,17990000000
1663426602,20980000000
1663426603,23020000000
1663426604,24850000000
1663426605,25510000000
1663426606,28110000000
1663426607,30160000000
1663426608,32300000000
1663426609,34040000000
1663426610,34790000000
1663426611,34810000000
1663426612,34850000000
1663426613,34980000000
1663426614,35310000000
1663426615,38290000000
1663426616,40270000000
1663426617,42340000000
1663426618,45400000000
1663426619,47440000000
1663426620,49470000000
1663426621,51510000000
1663426622,54170000000
1663426623,56000000000
1663426624,57160000000
1663426625,59500000000
1663426626,60670000000
1663426627,62060000000
1663426628,63250000000
1663426629,64310000000
1663426630,64340000000
1663426631,64350000000
1663426632,64360000000
1663426633,65770000000
1663426634,67800000000
1663426635,70000000000
1663426636,72150000000
1663426637,73690000000
1663426638,75700000000
1663426639,77840000000
1663426640,78550000000
1663426640,78620000000
