t,value
1663355127,4560000000
1663355128,4610000000
1663355129,4660000000
1663355130,4700000000
1663355131,5860000000
1663355132,7160000000
1663355133,9130000000
1663355134,10640000000
1663355135,12370000000
1663355136,13550000000
1663355137,14370000000
1663355138,16370000000
1663355139,17270000000
1663355140,17560000000
1663355141,19740000000
1663355142,21280000000
1663355143,21330000000
1663355144,21340000000
1663355145,23060000000
1663355146,25040000000
1663355147,26730000000
1663355148,28540000000
1663355149,30610000000
1663355150,32410000000
1663355151,33780000000
1663355152,34900000000
1663355153,35080000000
1663355154,35820000000
1663355155,37680000000
1663355156,39440000000
1663355156,39860000000
