t,value
1663352670,4740000000
1663352671,4790000000
1663352672,4830000000
1663352673,4880000000
1663352674,4900000000
1663352675,5300000000
1663352676,6050000000
1663352677,6840000000
1663352678,7860000000
1663352679,8680000000
1663352680,9760000000
1663352681,10810000000
1663352682,11950000000
1663352683,12770000000
1663352684,12920000000
1663352685,13330000000
1663352686,14180000000
1663352687,15190000000
1663352688,16080000000
1663352689,16390000000
1663352690,17200000000
1663352691,18050000000
1663352692,18870000000
1663352693,18900000000
1663352694,19130000000
1663352695,20320000000
1663352696,21310000000
1663352697,21940000000
1663352698,22640000000
1663352699,23730000000
1663352700,24680000000
1663352701,25060000000
1663352702,25760000000
1663352703,26310000000
1663352704,26880000000
1663352705,26920000000
1663352706,27810000000
1663352707,28220000000
1663352708,28950000000
1663352709,29450000000
