t,value
1663434298,5160000000
1663434299,5220000000
1663434300,5270000000
1663434301,5320000000
1663434302,7070000000
1663434303,8930000000
1663434304,11770000000
1663434305,14560000000
1663434306,16740000000
1663434307,17240000000
1663434308,19690000000
1663434309,22070000000
1663434310,23870000000
1663434311,25780000000
1663434312,27920000000
1663434313,29930000000
1663434314,31840000000
1663434315,32140000000
1663434316,32150000000
1663434317,32160000000
1663434318,32600000000
1663434319,35510000000
1663434320,37680000000
1663434321,40240000000
1663434322,42560000000
1663434323,44580000000
1663434324,46590000000
1663434325,49300000000
1663434326,51660000000
1663434327,53360000000
1663434328,54970000000
1663434329,54970000000
1663434330,54980000000
1663434331,55700000000
1663434332,56730000000
1663434333,57840000000
1663434334,60110000000
1663434335,62260000000
1663434336,64500000000
1663434337,66530000000
1663434338,68530000000
1663434339,69490000000
