t,value
1663434212,4470000000
1663434213,4510000000
1663434214,4540000000
1663434215,4580000000
1663434216,6310000000
1663434217,8100000000
1663434218,10570000000
1663434219,13340000000
1663434220,14920000000
1663434221,15570000000
1663434222,18520000000
1663434223,20640000000
1663434224,21440000000
1663434225,24180000000
1663434226,26300000000
1663434227,27420000000
1663434228,28790000000
1663434229,29870000000
1663434230,32260000000
1663434231,34550000000
1663434232,36340000000
1663434233,37210000000
1663434234,39230000000
1663434235,42020000000
1663434236,44810000000
1663434237,47880000000
1663434238,49390000000
1663434239,49410000000
1663434240,49470000000
1663434241,49490000000
1663434242,49830000000
1663434243,51980000000
1663434244,54820000000
1663434245,56800000000
1663434246,58680000000
1663434246,58780000000
