t,value
1663360106,4070000000
1663360107,4130000000
1663360108,4170000000
1663360109,4210000000
1663360110,4250000000
1663360111,5370000000
1663360112,6780000000
1663360113,8500000000
1663360114,9860000000
1663360115,11310000000
1663360116,12550000000
1663360117,14080000000
1663360118,14130000000
1663360119,14770000000
1663360120,16100000000
1663360121,17260000000
1663360122,17760000000
1663360123,18570000000
1663360124,19610000000
1663360125,19770000000
1663360126,19780000000
1663360127,20250000000
1663360128,21540000000
1663360129,22900000000
1663360130,23470000000
1663360131,24750000000
1663360132,25980000000
1663360133,26760000000
1663360134,27550000000
1663360135,28260000000
1663360136,28440000000
1663360137,28480000000
1663360138,28500000000
1663360139,29660000000
1663360140,30420000000
1663360141,31550000000
1663360141,31670000000
