t,count
1663358764,0
1663358765,0
1663358766,0
1663358767,0
1663358768,0
1663358769,0
1663358770,0
1663358771,0
1663358772,5324821003
1663358773,5324821003
1663358774,8714677103
1663358775,8783759683
1663358776,8783759683
1663358777,12470382616
1663358778,12470382616
1663358779,13384237773
1663358780,15394244469
1663358781,16182430019
1663358782,16182430019
1663358783,19685554993
1663358784,20147093186
1663358785,20628559032
1663358786,20628559032
1663358787,20628559032
1663358788,23225917171
1663358789,25687000162
