t,value
1663362866,115324712
1663362867,118009440
1663362868,119807216
1663362869,120702000
1663362870,112553528
1663362871,215827056
1663362872,299034936
1663362873,174964968
1663362874,236786264
1663362875,150007664
1663362876,405045720
1663362877,677697832
1663362878,478273856
1663362879,628971184
1663362880,656102048
1663362881,162946664
1663362882,496938744
1663362883,369826320
1663362884,464545560
1663362885,489466736
1663362886,521333904
1663362887,547378064
1663362888,436700400
1663362889,631796200
1663362889,648349952
