t,value
1663426824,115416680
1663426825,118101384
1663426826,119899160
1663426827,120802152
1663426828,90239600
1663426829,208391048
1663426830,246081328
1663426831,603333608
1663426832,666800344
1663426833,778113624
1663426834,188769936
1663426835,390593416
1663426836,335549544
1663426837,1234768312
1663426838,766596776
1663426839,1427238896
1663426840,965432496
1663426841,1085804288
1663426842,1282983400
1663426843,1918322704
1663426844,2320456816
1663426845,1687385448
1663426846,1879551592
1663426847,2105853352
1663426848,726380464
1663426849,2017807320
1663426850,2158128984
1663426851,1746168264
1663426852,397335152
1663426852,1392659568
