t,value
1663354239,4860000000
1663354240,5260000000
1663354241,5300000000
1663354242,5350000000
1663354243,5380000000
1663354244,5490000000
1663354245,6510000000
1663354246,7500000000
1663354247,8380000000
1663354248,9360000000
1663354249,10440000000
1663354250,11380000000
1663354251,12150000000
1663354252,13200000000
1663354253,14270000000
1663354254,15260000000
1663354255,15790000000
1663354256,16860000000
1663354257,17770000000
1663354258,19210000000
1663354259,19290000000
1663354260,19500000000
1663354261,19920000000
1663354262,20480000000
1663354263,20800000000
1663354264,21040000000
1663354264,21110000000
