t,value
1663363843,4620000000
1663363844,4690000000
1663363845,4740000000
1663363846,4760000000
1663363847,5580000000
1663363848,7000000000
1663363849,8740000000
1663363850,10740000000
1663363851,12840000000
1663363852,13710000000
1663363853,14360000000
1663363854,16680000000
1663363855,17950000000
1663363856,19530000000
1663363857,19660000000
1663363858,19890000000
1663363859,21420000000
1663363860,22670000000
1663363861,24720000000
1663363862,24870000000
1663363863,27130000000
1663363864,27490000000
